	SubjectID1	SubjectID2	Group1	Group2	Distance
0	L1S76	L1S57	No	No	0.5
1	L1S105	L1S57	No	No	0.6282051282051282
2	L1S105	L1S76	No	No	0.515625
3	L2S155	L1S57	No	No	0.986013986013986
4	L2S155	L1S76	No	No	0.9847328244274809
5	L2S155	L1S105	No	No	0.9701492537313433
6	L2S175	L1S57	No	No	0.9855072463768116
7	L2S175	L1S76	No	No	0.9841269841269841
8	L2S175	L1S105	No	No	0.9769230769230769
9	L2S175	L2S155	No	No	0.6640625
10	L2S204	L1S57	No	No	0.9849624060150376
11	L2S204	L1S76	No	No	0.9834710743801653
12	L2S204	L1S105	No	No	0.9841269841269841
13	L2S204	L2S155	No	No	0.8226950354609929
14	L2S204	L2S175	No	No	0.7709923664122137
15	L2S222	L1S57	No	No	0.988950276243094
16	L2S222	L1S76	No	No	0.9821428571428571
17	L2S222	L1S105	No	No	0.9767441860465116
18	L2S222	L2S155	No	No	0.8176795580110497
19	L2S222	L2S175	No	No	0.7777777777777778
20	L2S222	L2S204	No	No	0.7407407407407407
21	L3S294	L1S57	No	No	1.0
22	L3S294	L1S76	No	No	1.0
23	L3S294	L1S105	No	No	1.0
24	L3S294	L2S155	No	No	0.75
25	L3S294	L2S175	No	No	0.7878787878787878
26	L3S294	L2S204	No	No	0.8020833333333334
27	L3S294	L2S222	No	No	0.8758620689655172
28	L3S313	L1S57	No	No	0.98
29	L3S313	L1S76	No	No	0.9772727272727273
30	L3S313	L1S105	No	No	0.9560439560439561
31	L3S313	L2S155	No	No	0.7211538461538461
32	L3S313	L2S175	No	No	0.6236559139784946
33	L3S313	L2S204	No	No	0.77
34	L3S313	L2S222	No	No	0.8125
35	L3S313	L3S294	No	No	0.7384615384615385
36	L3S341	L1S57	No	No	0.98989898989899
37	L3S341	L1S76	No	No	0.9885057471264368
38	L3S341	L1S105	No	No	0.978021978021978
39	L3S341	L2S155	No	No	0.8198198198198198
40	L3S341	L2S175	No	No	0.7884615384615384
41	L3S341	L2S204	No	No	0.7263157894736842
42	L3S341	L2S222	No	No	0.8503401360544217
43	L3S341	L3S294	No	No	0.8405797101449275
44	L3S341	L3S313	No	No	0.7945205479452054
45	L3S360	L1S57	No	No	1.0
46	L3S360	L1S76	No	No	1.0
47	L3S360	L1S105	No	No	1.0
48	L3S360	L2S155	No	No	0.896
49	L3S360	L2S175	No	No	0.8728813559322034
50	L3S360	L2S204	No	No	0.8256880733944955
51	L3S360	L2S222	No	No	0.7428571428571429
52	L3S360	L3S294	No	No	0.8987341772151899
53	L3S360	L3S313	No	No	0.8823529411764706
54	L3S360	L3S341	No	No	0.8518518518518519
55	L5S155	L1S57	No	No	0.987012987012987
56	L5S155	L1S76	No	No	0.9846153846153847
57	L5S155	L1S105	No	No	0.9857142857142858
58	L5S155	L2S155	No	No	0.941747572815534
59	L5S155	L2S175	No	No	0.9052631578947369
60	L5S155	L2S204	No	No	0.979381443298969
61	L5S155	L2S222	No	No	0.9791666666666666
62	L5S155	L3S294	No	No	0.9642857142857143
63	L5S155	L3S313	No	No	0.8620689655172413
64	L5S155	L3S341	No	No	0.967741935483871
65	L5S155	L3S360	No	No	0.9710144927536232
66	L5S174	L1S57	No	No	1.0
67	L5S174	L1S76	No	No	1.0
68	L5S174	L1S105	No	No	1.0
69	L5S174	L2S155	No	No	0.944954128440367
70	L5S174	L2S175	No	No	0.9108910891089109
71	L5S174	L2S204	No	No	0.9805825242718447
72	L5S174	L2S222	No	No	0.98
73	L5S174	L3S294	No	No	0.9508196721311475
74	L5S174	L3S313	No	No	0.875
75	L5S174	L3S341	No	No	0.9705882352941176
76	L5S174	L3S360	No	No	0.9868421052631579
77	L5S174	L5S155	No	No	0.5
78	L5S203	L1S57	No	No	1.0
79	L5S203	L1S76	No	No	1.0
80	L5S203	L1S105	No	No	1.0
81	L5S203	L2S155	No	No	0.8952380952380953
82	L5S203	L2S175	No	No	0.8673469387755102
83	L5S203	L2S204	No	No	0.9607843137254902
84	L5S203	L2S222	No	No	0.9594594594594594
85	L5S203	L3S294	No	No	0.8983050847457628
86	L5S203	L3S313	No	No	0.859375
87	L5S203	L3S341	No	No	0.9242424242424242
88	L5S203	L3S360	No	No	0.9459459459459459
89	L5S203	L5S155	No	No	0.46875
90	L5S203	L5S174	No	No	0.5135135135135135
91	L5S222	L1S57	No	No	1.0
92	L5S222	L1S76	No	No	1.0
93	L5S222	L1S105	No	No	1.0
94	L5S222	L2S155	No	No	0.9230769230769231
95	L5S222	L2S175	No	No	0.8854166666666666
96	L5S222	L2S204	No	No	0.9591836734693877
97	L5S222	L2S222	No	No	0.9655172413793104
98	L5S222	L3S294	No	No	0.9107142857142857
99	L5S222	L3S313	No	No	0.85
100	L5S222	L3S341	No	No	0.9365079365079365
101	L5S222	L3S360	No	No	0.9722222222222222
102	L5S222	L5S155	No	No	0.4482758620689655
103	L5S222	L5S174	No	No	0.40625
104	L5S222	L5S203	No	No	0.3225806451612903
105	L1S208	L1S57	No	No	0.7570093457943925
106	L1S208	L1S76	No	No	0.7525773195876289
