	SubjectID1	SubjectID2	Group1	Group2	Distance
0	L1S76	L1S57	No	No	0.2368575781583786
1	L1S105	L1S57	No	No	0.3571698069572449
2	L1S105	L1S76	No	No	0.3032753169536591
3	L2S155	L1S57	No	No	0.8526127934455872
4	L2S155	L1S76	No	No	0.8443453907966614
5	L2S155	L1S105	No	No	0.803117036819458
6	L2S175	L1S57	No	No	0.8546635508537292
7	L2S175	L1S76	No	No	0.8446705341339111
8	L2S175	L1S105	No	No	0.802805483341217
9	L2S175	L2S155	No	No	0.336064487695694
10	L2S204	L1S57	No	No	0.8534725904464722
11	L2S204	L1S76	No	No	0.8387384414672852
12	L2S204	L1S105	No	No	0.8121383786201477
13	L2S204	L2S155	No	No	0.4055725634098053
14	L2S204	L2S175	No	No	0.3421208560466766
15	L2S222	L1S57	No	No	0.8678173422813416
16	L2S222	L1S76	No	No	0.8530429601669312
17	L2S222	L1S105	No	No	0.8158627152442932
18	L2S222	L2S155	No	No	0.4490272700786591
19	L2S222	L2S175	No	No	0.3934049904346466
20	L2S222	L2S204	No	No	0.3678004145622253
21	L3S294	L1S57	No	No	0.8541732430458069
22	L3S294	L1S76	No	No	0.8417372703552246
23	L3S294	L1S105	No	No	0.809628963470459
24	L3S294	L2S155	No	No	0.3713157773017883
25	L3S294	L2S175	No	No	0.3092550039291382
26	L3S294	L2S204	No	No	0.4141967296600342
27	L3S294	L2S222	No	No	0.4660894274711609
28	L3S313	L1S57	No	No	0.7752053737640381
29	L3S313	L1S76	No	No	0.7520959973335266
30	L3S313	L1S105	No	No	0.6888459324836731
31	L3S313	L2S155	No	No	0.5547900795936584
32	L3S313	L2S175	No	No	0.4714303314685822
33	L3S313	L2S204	No	No	0.5812268257141113
34	L3S313	L2S222	No	No	0.6052343249320984
35	L3S313	L3S294	No	No	0.5399406552314758
36	L3S341	L1S57	No	No	0.7488357424736023
37	L3S341	L1S76	No	No	0.7241066098213196
38	L3S341	L1S105	No	No	0.6812971234321594
39	L3S341	L2S155	No	No	0.6088559031486511
40	L3S341	L2S175	No	No	0.5226912498474121
41	L3S341	L2S204	No	No	0.550530195236206
42	L3S341	L2S222	No	No	0.5933288931846619
43	L3S341	L3S294	No	No	0.5639126896858215
44	L3S341	L3S313	No	No	0.3605006337165833
45	L3S360	L1S57	No	No	0.854363203048706
46	L3S360	L1S76	No	No	0.851710319519043
47	L3S360	L1S105	No	No	0.831447184085846
48	L3S360	L2S155	No	No	0.420312762260437
49	L3S360	L2S175	No	No	0.366353303194046
50	L3S360	L2S204	No	No	0.4374892711639404
51	L3S360	L2S222	No	No	0.4429792761802673
52	L3S360	L3S294	No	No	0.3165956139564514
53	L3S360	L3S313	No	No	0.6320741176605225
54	L3S360	L3S341	No	No	0.5938379168510437
55	L5S155	L1S57	No	No	0.7288749814033508
56	L5S155	L1S76	No	No	0.7028275728225708
57	L5S155	L1S105	No	No	0.643588125705719
58	L5S155	L2S155	No	No	0.7233960032463074
59	L5S155	L2S175	No	No	0.695936918258667
60	L5S155	L2S204	No	No	0.7623216509819031
61	L5S155	L2S222	No	No	0.7658995389938354
62	L5S155	L3S294	No	No	0.6531673669815063
63	L5S155	L3S313	No	No	0.5087693333625793
64	L5S155	L3S341	No	No	0.5218987464904785
65	L5S155	L3S360	No	No	0.7250095009803772
66	L5S174	L1S57	No	No	0.7731545567512512
67	L5S174	L1S76	No	No	0.7517455816268921
68	L5S174	L1S105	No	No	0.6924605965614319
69	L5S174	L2S155	No	No	0.736071765422821
70	L5S174	L2S175	No	No	0.7100847959518433
71	L5S174	L2S204	No	No	0.7715931534767151
72	L5S174	L2S222	No	No	0.7700574994087219
73	L5S174	L3S294	No	No	0.663945198059082
74	L5S174	L3S313	No	No	0.5546046495437622
75	L5S174	L3S341	No	No	0.5658682584762573
76	L5S174	L3S360	No	No	0.7440269589424133
77	L5S174	L5S155	No	No	0.1977029889822006
78	L5S203	L1S57	No	No	0.7543405890464783
79	L5S203	L1S76	No	No	0.7327238321304321
80	L5S203	L1S105	No	No	0.6793239116668701
81	L5S203	L2S155	No	No	0.6885913610458374
82	L5S203	L2S175	No	No	0.651642918586731
83	L5S203	L2S204	No	No	0.7252151966094971
84	L5S203	L2S222	No	No	0.7286207675933838
85	L5S203	L3S294	No	No	0.6422851085662842
86	L5S203	L3S313	No	No	0.5042743682861328
87	L5S203	L3S341	No	No	0.4836397767066956
88	L5S203	L3S360	No	No	0.6872869729995728
89	L5S203	L5S155	No	No	0.2140102237462997
90	L5S203	L5S174	No	No	0.2190301716327667
91	L5S222	L1S57	No	No	0.7590388059616089
92	L5S222	L1S76	No	No	0.7360150814056396
93	L5S222	L1S105	No	No	0.6748400330543518
94	L5S222	L2S155	No	No	0.7168592810630798
95	L5S222	L2S175	No	No	0.6859787106513977
96	L5S222	L2S204	No	No	0.7557750344276428
97	L5S222	L2S222	No	No	0.7587631940841675
98	L5S222	L3S294	No	No	0.6409914493560791
99	L5S222	L3S313	No	No	0.5101134777069092
100	L5S222	L3S341	No	No	0.5411091446876526
101	L5S222	L3S360	No	No	0.7279753088951111
102	L5S222	L5S155	No	No	0.1415012031793594
103	L5S222	L5S174	No	No	0.1390369683504105
104	L5S222	L5S203	No	No	0.1542940437793732
105	L1S208	L1S57	No	No	0.4852229952812195
106	L1S208	L1S76	No	No	0.4832692444324493
107	L1S208	L1S105	No	No	0.5517258048057556
108	L1S208	L2S155	No	No	0.8288471102714539
109	L1S208	L2S175	No	No	0.829841673374176
110	L1S208	L2S204	No	No	0.8347338438034058
111	L1S208	L2S222	No	No	0.8438295125961304
112	L1S208	L3S294	No	No	0.8320239782333374
113	L1S208	L3S313	No	No	0.7469940185546875
114	L1S208	L3S341	No	No	0.7321256995201111
115	L1S208	L3S360	No	No	0.8434125781059265
116	L1S208	L5S155	No	No	0.716836154460907
117	L1S208	L5S174	No	No	0.7396454215049744
118	L1S208	L5S203	No	No	0.7329973578453064
119	L1S208	L5S222	No	No	0.7281374335289001
120	L1S257	L1S57	No	No	0.3889417946338654
121	L1S257	L1S76	No	No	0.4025446772575378
122	L1S257	L1S105	No	No	0.4808968305587769
123	L1S257	L2S155	No	No	0.8434311747550964
124	L1S257	L2S175	No	No	0.8517032265663147
125	L1S257	L2S204	No	No	0.8476715087890625
126	L1S257	L2S222	No	No	0.8622415065765381
127	L1S257	L3S294	No	No	0.8499534726142883
